policy,seed,sharpe,maxdd,is_bps,auc,adv_pnl,net_leakage,status,timestamp
baseline,0,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:49.284512
baseline,1,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:56.253290
baseline,2,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:03.295840
baseline,3,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:11.171822
baseline,4,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:20.654275
baseline,5,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:28.126709
baseline,6,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:35.238843
baseline,7,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:41.943266
baseline,8,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:48.538799
baseline,9,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:56.447925
baseline,10,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:05.015777
baseline,11,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:13.465108
baseline,12,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:21.731821
baseline,13,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:49.276603
baseline,14,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:56.248809
baseline,15,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:03.254094
baseline,16,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:11.237218
baseline,17,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:20.623546
baseline,18,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:28.025059
baseline,19,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:35.240483
baseline,20,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:42.137953
baseline,21,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:48.724558
baseline,22,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:56.833964
baseline,23,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:05.430419
baseline,24,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:13.716819
baseline,25,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:21.983600
baseline,26,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:49.262501
baseline,27,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:56.213660
baseline,28,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:03.073617
baseline,29,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:11.053631
baseline,30,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:20.448200
baseline,31,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:28.096079
baseline,32,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:35.165810
baseline,33,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:41.879809
baseline,34,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:48.493695
baseline,35,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:56.465952
baseline,36,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:05.002831
baseline,37,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:13.492412
baseline,38,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:21.777031
baseline,39,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:49.300357
baseline,40,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:04:56.304074
baseline,41,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:03.312785
baseline,42,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:11.347097
baseline,43,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:20.702136
baseline,44,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:28.120127
baseline,45,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:35.145653
baseline,46,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:41.936643
baseline,47,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:48.504805
baseline,48,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:05:56.694427
baseline,49,0.259234,-0.133674,17.2703,0.715505,,,ok,2026-03-11T19:06:05.354645
ou,0,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:15.583404
ou,1,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:24.910575
ou,2,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:30.083488
ou,3,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:38.765205
ou,4,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:47.320050
ou,5,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:55.813364
ou,6,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:04.527342
ou,7,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:12.891449
ou,8,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:21.351431
ou,9,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:30.835501
ou,10,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:39.551443
ou,11,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:47.927213
ou,12,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:56.170440
ou,13,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:08:04.833742
ou,14,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:08:13.071948
ou,15,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:30.199698
ou,16,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:38.994973
ou,17,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:47.495266
ou,18,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:06:55.886422
ou,19,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:04.550373
ou,20,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:13.179818
ou,21,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:21.761955
ou,22,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:31.092887
ou,23,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:39.906313
ou,24,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:48.285313
ou,25,0.281634,-0.128803,14.8219,0.660597,,,ok,2026-03-11T19:07:56.790363
